"","CENT_northing","CENT_easting","south","west","north","east"
"1",4111567.818,255852.376,4111547.818,255832.376,4111587.818,255872.376
"2",4111298.971,257406.967,4111278.971,257386.967,4111318.971,257426.967
"3",4110819.876,256838.76,4110799.876,256818.76,4110839.876,256858.76
"4",4108752.026,256176.947,4108732.026,256156.947,4108772.026,256196.947
"5",4110476.079,255968.372,4110456.079,255948.372,4110496.079,255988.372
"6",4111388.57,257078.867,4111368.57,257058.867,4111408.57,257098.867
"7",4111071.087,256683.434,4111051.087,256663.434,4111091.087,256703.434
"8",4112167.778,256717.467,4112147.778,256697.467,4112187.778,256737.467
"9",4111533.879,256034.39,4111513.879,256014.39,4111553.879,256054.39
"10",4109856.983,258497.102,4109836.983,258477.102,4109876.983,258517.102
"11",4110161.674,258277.829,4110141.674,258257.829,4110181.674,258297.829
"12",4107527.074,256961.794,4107507.074,256941.794,4107547.074,256981.794
"13",4107578.841,256148.197,4107558.841,256128.197,4107598.841,256168.197
"14",4109767.289,257228.336,4109747.289,257208.336,4109787.289,257248.336
"15",4110249.265,254738.618,4110229.265,254718.618,4110269.265,254758.618
"16",4110047.586,256185.584,4110027.586,256165.584,4110067.586,256205.584
"17",4109616.679,257460.486,4109596.679,257440.486,4109636.679,257480.486
"18",4110759.039,255871.194,4110739.039,255851.194,4110779.039,255891.194
